Aspect,Polarity,Summary,lat,lng,name,business_status,address,types,user_ratings_total,#charging_stations,text,avg_rating
reliability and maintenance,Positive,reliable charging spot],42.522029,-82.90675,Tesla Supercharger,OPERATIONAL,"30800 Little Mack Ave, Roseville, MI 48066, USA","point_of_interest, establishment",55,5,"We don't use superchargers much because we charge at home and up at the cottage but when we did in the beginning when we first picked up the car they were very slow superchargers.  Much improved, quicker, more powerful, and a lot more convenient. We'll have to start using a more often and the cost was reasonable. At home we charge for $0.17 a kilowatt and Tesla was charging 34 cents. Even though it's twice the cost the infrastructure and being there when needed is a big big plus. Thank you!The Tesla Supercharger is conveniently situated near Meijer, providing a favorable location for Tesla owners. Although it may not have an extensive number of charging slots, it still serves its purpose well. Many drivers, including ourselves, have found it to be a reliable charging spot before crossing the border into Canada. Its proximity to Meijer allows for convenient access to amenities while ensuring a smooth charging experience.Next to Meijer. Total 8 stalls 150 kW max  Charging fees as of 9/12/22 -   $0.41/ kWh (all day)  Cleanliness 4/5Nothing special about this location. It's clean. There's a restaurant and a supercenter store within walking distance.This station is ok. It has a bad habit of slowing to about 12kw once you get to 80% also the power will cost you about $20 a full charge in a model 3 single motor. Also usually their is an opening at this location as well.",4.2
price and cost,Positive,charging fees $0.41,42.522029,-82.90675,Tesla Supercharger,OPERATIONAL,"30800 Little Mack Ave, Roseville, MI 48066, USA","point_of_interest, establishment",55,5,"We don't use superchargers much because we charge at home and up at the cottage but when we did in the beginning when we first picked up the car they were very slow superchargers.  Much improved, quicker, more powerful, and a lot more convenient. We'll have to start using a more often and the cost was reasonable. At home we charge for $0.17 a kilowatt and Tesla was charging 34 cents. Even though it's twice the cost the infrastructure and being there when needed is a big big plus. Thank you!The Tesla Supercharger is conveniently situated near Meijer, providing a favorable location for Tesla owners. Although it may not have an extensive number of charging slots, it still serves its purpose well. Many drivers, including ourselves, have found it to be a reliable charging spot before crossing the border into Canada. Its proximity to Meijer allows for convenient access to amenities while ensuring a smooth charging experience.Next to Meijer. Total 8 stalls 150 kW max  Charging fees as of 9/12/22 -   $0.41/ kWh (all day)  Cleanliness 4/5Nothing special about this location. It's clean. There's a restaurant and a supercenter store within walking distance.This station is ok. It has a bad habit of slowing to about 12kw once you get to 80% also the power will cost you about $20 a full charge in a model 3 single motor. Also usually their is an opening at this location as well.",4.2
amenities and location,Positive,restaurant and supercenter store within walking distance],42.522029,-82.90675,Tesla Supercharger,OPERATIONAL,"30800 Little Mack Ave, Roseville, MI 48066, USA","point_of_interest, establishment",55,5,"We don't use superchargers much because we charge at home and up at the cottage but when we did in the beginning when we first picked up the car they were very slow superchargers.  Much improved, quicker, more powerful, and a lot more convenient. We'll have to start using a more often and the cost was reasonable. At home we charge for $0.17 a kilowatt and Tesla was charging 34 cents. Even though it's twice the cost the infrastructure and being there when needed is a big big plus. Thank you!The Tesla Supercharger is conveniently situated near Meijer, providing a favorable location for Tesla owners. Although it may not have an extensive number of charging slots, it still serves its purpose well. Many drivers, including ourselves, have found it to be a reliable charging spot before crossing the border into Canada. Its proximity to Meijer allows for convenient access to amenities while ensuring a smooth charging experience.Next to Meijer. Total 8 stalls 150 kW max  Charging fees as of 9/12/22 -   $0.41/ kWh (all day)  Cleanliness 4/5Nothing special about this location. It's clean. There's a restaurant and a supercenter store within walking distance.This station is ok. It has a bad habit of slowing to about 12kw once you get to 80% also the power will cost you about $20 a full charge in a model 3 single motor. Also usually their is an opening at this location as well.",4.2
charging speed and efficiency,Negative,slowing to about 12kw once you get to 80%],42.522029,-82.90675,Tesla Supercharger,OPERATIONAL,"30800 Little Mack Ave, Roseville, MI 48066, USA","point_of_interest, establishment",55,5,"We don't use superchargers much because we charge at home and up at the cottage but when we did in the beginning when we first picked up the car they were very slow superchargers.  Much improved, quicker, more powerful, and a lot more convenient. We'll have to start using a more often and the cost was reasonable. At home we charge for $0.17 a kilowatt and Tesla was charging 34 cents. Even though it's twice the cost the infrastructure and being there when needed is a big big plus. Thank you!The Tesla Supercharger is conveniently situated near Meijer, providing a favorable location for Tesla owners. Although it may not have an extensive number of charging slots, it still serves its purpose well. Many drivers, including ourselves, have found it to be a reliable charging spot before crossing the border into Canada. Its proximity to Meijer allows for convenient access to amenities while ensuring a smooth charging experience.Next to Meijer. Total 8 stalls 150 kW max  Charging fees as of 9/12/22 -   $0.41/ kWh (all day)  Cleanliness 4/5Nothing special about this location. It's clean. There's a restaurant and a supercenter store within walking distance.This station is ok. It has a bad habit of slowing to about 12kw once you get to 80% also the power will cost you about $20 a full charge in a model 3 single motor. Also usually their is an opening at this location as well.",4.2
price and cost,Negative,power will cost you about $20 for a full charge],42.522029,-82.90675,Tesla Supercharger,OPERATIONAL,"30800 Little Mack Ave, Roseville, MI 48066, USA","point_of_interest, establishment",55,5,"We don't use superchargers much because we charge at home and up at the cottage but when we did in the beginning when we first picked up the car they were very slow superchargers.  Much improved, quicker, more powerful, and a lot more convenient. We'll have to start using a more often and the cost was reasonable. At home we charge for $0.17 a kilowatt and Tesla was charging 34 cents. Even though it's twice the cost the infrastructure and being there when needed is a big big plus. Thank you!The Tesla Supercharger is conveniently situated near Meijer, providing a favorable location for Tesla owners. Although it may not have an extensive number of charging slots, it still serves its purpose well. Many drivers, including ourselves, have found it to be a reliable charging spot before crossing the border into Canada. Its proximity to Meijer allows for convenient access to amenities while ensuring a smooth charging experience.Next to Meijer. Total 8 stalls 150 kW max  Charging fees as of 9/12/22 -   $0.41/ kWh (all day)  Cleanliness 4/5Nothing special about this location. It's clean. There's a restaurant and a supercenter store within walking distance.This station is ok. It has a bad habit of slowing to about 12kw once you get to 80% also the power will cost you about $20 a full charge in a model 3 single motor. Also usually their is an opening at this location as well.",4.2
accessibility and availability,Positive,usually an opening at this location],42.522029,-82.90675,Tesla Supercharger,OPERATIONAL,"30800 Little Mack Ave, Roseville, MI 48066, USA","point_of_interest, establishment",55,5,"We don't use superchargers much because we charge at home and up at the cottage but when we did in the beginning when we first picked up the car they were very slow superchargers.  Much improved, quicker, more powerful, and a lot more convenient. We'll have to start using a more often and the cost was reasonable. At home we charge for $0.17 a kilowatt and Tesla was charging 34 cents. Even though it's twice the cost the infrastructure and being there when needed is a big big plus. Thank you!The Tesla Supercharger is conveniently situated near Meijer, providing a favorable location for Tesla owners. Although it may not have an extensive number of charging slots, it still serves its purpose well. Many drivers, including ourselves, have found it to be a reliable charging spot before crossing the border into Canada. Its proximity to Meijer allows for convenient access to amenities while ensuring a smooth charging experience.Next to Meijer. Total 8 stalls 150 kW max  Charging fees as of 9/12/22 -   $0.41/ kWh (all day)  Cleanliness 4/5Nothing special about this location. It's clean. There's a restaurant and a supercenter store within walking distance.This station is ok. It has a bad habit of slowing to about 12kw once you get to 80% also the power will cost you about $20 a full charge in a model 3 single motor. Also usually their is an opening at this location as well.",4.2
reliability and maintenance,Negative,2 out of 4 stations are down],42.5222097,-82.90676119999999,Electrify America Charging Station Meijer,OPERATIONAL,"30800 Little Mack Ave, Roseville, MI 48066, USA","point_of_interest, establishment",14,5,"This has become a common problem of this location, 2 out of 4 stations are down. Customer service keeps saying there is a maintenance ticket out there but I haven’t seen anyone came to fix it in the last 1month. Out of the other 2 which is working, 1 is really slow and that brings you to wait in the queue for the only charger that is working properly. Hope Electrify America team takes this issue seriously and fix this charging station.They fixed their 2 broken chargers, so now for the first time in a really long time, all 4 are working!Both of the 350kw chargers were only operating at L2 (33kw).  Speaking to another driver it seems to be a common problem at this location. 150kw were fine.Beware when charging as a MEMBER! A $50 hold will be placed on your card. EV Go only puts a $5 hold on your card.Got a range of 364 miles at the gas station in 5 minutes...",2.0
customer service,Negative,Customer service keeps saying there is a maintenance ticket out there but I haven’t seen anyone came to fix it in the last 1month],42.5222097,-82.90676119999999,Electrify America Charging Station Meijer,OPERATIONAL,"30800 Little Mack Ave, Roseville, MI 48066, USA","point_of_interest, establishment",14,5,"This has become a common problem of this location, 2 out of 4 stations are down. Customer service keeps saying there is a maintenance ticket out there but I haven’t seen anyone came to fix it in the last 1month. Out of the other 2 which is working, 1 is really slow and that brings you to wait in the queue for the only charger that is working properly. Hope Electrify America team takes this issue seriously and fix this charging station.They fixed their 2 broken chargers, so now for the first time in a really long time, all 4 are working!Both of the 350kw chargers were only operating at L2 (33kw).  Speaking to another driver it seems to be a common problem at this location. 150kw were fine.Beware when charging as a MEMBER! A $50 hold will be placed on your card. EV Go only puts a $5 hold on your card.Got a range of 364 miles at the gas station in 5 minutes...",2.0
queue and waiting time,Negative,brings you to wait in the queue for the only charger that is working properly],42.5222097,-82.90676119999999,Electrify America Charging Station Meijer,OPERATIONAL,"30800 Little Mack Ave, Roseville, MI 48066, USA","point_of_interest, establishment",14,5,"This has become a common problem of this location, 2 out of 4 stations are down. Customer service keeps saying there is a maintenance ticket out there but I haven’t seen anyone came to fix it in the last 1month. Out of the other 2 which is working, 1 is really slow and that brings you to wait in the queue for the only charger that is working properly. Hope Electrify America team takes this issue seriously and fix this charging station.They fixed their 2 broken chargers, so now for the first time in a really long time, all 4 are working!Both of the 350kw chargers were only operating at L2 (33kw).  Speaking to another driver it seems to be a common problem at this location. 150kw were fine.Beware when charging as a MEMBER! A $50 hold will be placed on your card. EV Go only puts a $5 hold on your card.Got a range of 364 miles at the gas station in 5 minutes...",2.0
reliability and maintenance,Positive,"They fixed their 2 broken chargers, so now for the first time in a really long time, all 4 are working]",42.5222097,-82.90676119999999,Electrify America Charging Station Meijer,OPERATIONAL,"30800 Little Mack Ave, Roseville, MI 48066, USA","point_of_interest, establishment",14,5,"This has become a common problem of this location, 2 out of 4 stations are down. Customer service keeps saying there is a maintenance ticket out there but I haven’t seen anyone came to fix it in the last 1month. Out of the other 2 which is working, 1 is really slow and that brings you to wait in the queue for the only charger that is working properly. Hope Electrify America team takes this issue seriously and fix this charging station.They fixed their 2 broken chargers, so now for the first time in a really long time, all 4 are working!Both of the 350kw chargers were only operating at L2 (33kw).  Speaking to another driver it seems to be a common problem at this location. 150kw were fine.Beware when charging as a MEMBER! A $50 hold will be placed on your card. EV Go only puts a $5 hold on your card.Got a range of 364 miles at the gas station in 5 minutes...",2.0
charging speed and efficiency,Negative,Both of the 350kw chargers were only operating at L2 (33kw)],42.5222097,-82.90676119999999,Electrify America Charging Station Meijer,OPERATIONAL,"30800 Little Mack Ave, Roseville, MI 48066, USA","point_of_interest, establishment",14,5,"This has become a common problem of this location, 2 out of 4 stations are down. Customer service keeps saying there is a maintenance ticket out there but I haven’t seen anyone came to fix it in the last 1month. Out of the other 2 which is working, 1 is really slow and that brings you to wait in the queue for the only charger that is working properly. Hope Electrify America team takes this issue seriously and fix this charging station.They fixed their 2 broken chargers, so now for the first time in a really long time, all 4 are working!Both of the 350kw chargers were only operating at L2 (33kw).  Speaking to another driver it seems to be a common problem at this location. 150kw were fine.Beware when charging as a MEMBER! A $50 hold will be placed on your card. EV Go only puts a $5 hold on your card.Got a range of 364 miles at the gas station in 5 minutes...",2.0
charging speed and efficiency,Positive,150kw were fine],42.5222097,-82.90676119999999,Electrify America Charging Station Meijer,OPERATIONAL,"30800 Little Mack Ave, Roseville, MI 48066, USA","point_of_interest, establishment",14,5,"This has become a common problem of this location, 2 out of 4 stations are down. Customer service keeps saying there is a maintenance ticket out there but I haven’t seen anyone came to fix it in the last 1month. Out of the other 2 which is working, 1 is really slow and that brings you to wait in the queue for the only charger that is working properly. Hope Electrify America team takes this issue seriously and fix this charging station.They fixed their 2 broken chargers, so now for the first time in a really long time, all 4 are working!Both of the 350kw chargers were only operating at L2 (33kw).  Speaking to another driver it seems to be a common problem at this location. 150kw were fine.Beware when charging as a MEMBER! A $50 hold will be placed on your card. EV Go only puts a $5 hold on your card.Got a range of 364 miles at the gas station in 5 minutes...",2.0
payment Options,Negative,A $50 hold will be placed on your card],42.5222097,-82.90676119999999,Electrify America Charging Station Meijer,OPERATIONAL,"30800 Little Mack Ave, Roseville, MI 48066, USA","point_of_interest, establishment",14,5,"This has become a common problem of this location, 2 out of 4 stations are down. Customer service keeps saying there is a maintenance ticket out there but I haven’t seen anyone came to fix it in the last 1month. Out of the other 2 which is working, 1 is really slow and that brings you to wait in the queue for the only charger that is working properly. Hope Electrify America team takes this issue seriously and fix this charging station.They fixed their 2 broken chargers, so now for the first time in a really long time, all 4 are working!Both of the 350kw chargers were only operating at L2 (33kw).  Speaking to another driver it seems to be a common problem at this location. 150kw were fine.Beware when charging as a MEMBER! A $50 hold will be placed on your card. EV Go only puts a $5 hold on your card.Got a range of 364 miles at the gas station in 5 minutes...",2.0
payment Options,Positive,EV Go only puts a $5 hold on your card],42.5222097,-82.90676119999999,Electrify America Charging Station Meijer,OPERATIONAL,"30800 Little Mack Ave, Roseville, MI 48066, USA","point_of_interest, establishment",14,5,"This has become a common problem of this location, 2 out of 4 stations are down. Customer service keeps saying there is a maintenance ticket out there but I haven’t seen anyone came to fix it in the last 1month. Out of the other 2 which is working, 1 is really slow and that brings you to wait in the queue for the only charger that is working properly. Hope Electrify America team takes this issue seriously and fix this charging station.They fixed their 2 broken chargers, so now for the first time in a really long time, all 4 are working!Both of the 350kw chargers were only operating at L2 (33kw).  Speaking to another driver it seems to be a common problem at this location. 150kw were fine.Beware when charging as a MEMBER! A $50 hold will be placed on your card. EV Go only puts a $5 hold on your card.Got a range of 364 miles at the gas station in 5 minutes...",2.0
reliability and maintenance,Positive,Chargepoint is reliable],42.5277052,-83.5364476,ChargePoint Charging Station,OPERATIONAL,"344 N Wixom Rd, Wixom, MI 48393, USA","point_of_interest, establishment",1,1,"Chargepoint is reliable.  Modest price for L2 $1/hr. Good location with coffee shop, brewery, pizza, Mexican nearby.",5.0
price and cost,Positive,Modest price for L2 $1,42.5277052,-83.5364476,ChargePoint Charging Station,OPERATIONAL,"344 N Wixom Rd, Wixom, MI 48393, USA","point_of_interest, establishment",1,1,"Chargepoint is reliable.  Modest price for L2 $1/hr. Good location with coffee shop, brewery, pizza, Mexican nearby.",5.0
amenities and location,Positive,"Good location with coffee shop, brewery, pizza, Mexican nearby]",42.5277052,-83.5364476,ChargePoint Charging Station,OPERATIONAL,"344 N Wixom Rd, Wixom, MI 48393, USA","point_of_interest, establishment",1,1,"Chargepoint is reliable.  Modest price for L2 $1/hr. Good location with coffee shop, brewery, pizza, Mexican nearby.",5.0
reliability and maintenance,Negative,both 350s down as of Aug 2023],42.5381387,-83.18280899999999,EVgo Charging Station,OPERATIONAL,"5111 Meijer Dr, Royal Oak, MI 48073, USA","point_of_interest, establishment",10,5,"both 350s down as of Aug 2023. both 100kW stations would not recognize any method of payment and needed to call to initiate chargeAbsolutely horrible expensive and never works for Tesla. I’ll stick with it Tesla superchargers in Auburn Hills the best. Don’t go there. You Will  waste your precious time.The 350kw was being serviced when I got there so I used the one of the 100kw. Got me from 30 miles to 130 in about 40 minutes and 15 dollars. Which was all i needed at the time.Website states $0.35/hour, actual rate is $0.86/hour. There is no indication when paying on the machine what the rate will actually be. Was a not very nice surprise at the end of charging3 of the four stations currently don’t work, and it’s expensive! EVgo is easily the worst charging company, avoid unless it’s an emergency",2.2
payment Options,Negative,would not recognize any method of payment],42.5381387,-83.18280899999999,EVgo Charging Station,OPERATIONAL,"5111 Meijer Dr, Royal Oak, MI 48073, USA","point_of_interest, establishment",10,5,"both 350s down as of Aug 2023. both 100kW stations would not recognize any method of payment and needed to call to initiate chargeAbsolutely horrible expensive and never works for Tesla. I’ll stick with it Tesla superchargers in Auburn Hills the best. Don’t go there. You Will  waste your precious time.The 350kw was being serviced when I got there so I used the one of the 100kw. Got me from 30 miles to 130 in about 40 minutes and 15 dollars. Which was all i needed at the time.Website states $0.35/hour, actual rate is $0.86/hour. There is no indication when paying on the machine what the rate will actually be. Was a not very nice surprise at the end of charging3 of the four stations currently don’t work, and it’s expensive! EVgo is easily the worst charging company, avoid unless it’s an emergency",2.2
customer service,Negative,needed to call to initiate charge],42.5381387,-83.18280899999999,EVgo Charging Station,OPERATIONAL,"5111 Meijer Dr, Royal Oak, MI 48073, USA","point_of_interest, establishment",10,5,"both 350s down as of Aug 2023. both 100kW stations would not recognize any method of payment and needed to call to initiate chargeAbsolutely horrible expensive and never works for Tesla. I’ll stick with it Tesla superchargers in Auburn Hills the best. Don’t go there. You Will  waste your precious time.The 350kw was being serviced when I got there so I used the one of the 100kw. Got me from 30 miles to 130 in about 40 minutes and 15 dollars. Which was all i needed at the time.Website states $0.35/hour, actual rate is $0.86/hour. There is no indication when paying on the machine what the rate will actually be. Was a not very nice surprise at the end of charging3 of the four stations currently don’t work, and it’s expensive! EVgo is easily the worst charging company, avoid unless it’s an emergency",2.2
price and cost,Negative,horrible expensive],42.5381387,-83.18280899999999,EVgo Charging Station,OPERATIONAL,"5111 Meijer Dr, Royal Oak, MI 48073, USA","point_of_interest, establishment",10,5,"both 350s down as of Aug 2023. both 100kW stations would not recognize any method of payment and needed to call to initiate chargeAbsolutely horrible expensive and never works for Tesla. I’ll stick with it Tesla superchargers in Auburn Hills the best. Don’t go there. You Will  waste your precious time.The 350kw was being serviced when I got there so I used the one of the 100kw. Got me from 30 miles to 130 in about 40 minutes and 15 dollars. Which was all i needed at the time.Website states $0.35/hour, actual rate is $0.86/hour. There is no indication when paying on the machine what the rate will actually be. Was a not very nice surprise at the end of charging3 of the four stations currently don’t work, and it’s expensive! EVgo is easily the worst charging company, avoid unless it’s an emergency",2.2
reliability and maintenance,Negative,never works for Tesla],42.5381387,-83.18280899999999,EVgo Charging Station,OPERATIONAL,"5111 Meijer Dr, Royal Oak, MI 48073, USA","point_of_interest, establishment",10,5,"both 350s down as of Aug 2023. both 100kW stations would not recognize any method of payment and needed to call to initiate chargeAbsolutely horrible expensive and never works for Tesla. I’ll stick with it Tesla superchargers in Auburn Hills the best. Don’t go there. You Will  waste your precious time.The 350kw was being serviced when I got there so I used the one of the 100kw. Got me from 30 miles to 130 in about 40 minutes and 15 dollars. Which was all i needed at the time.Website states $0.35/hour, actual rate is $0.86/hour. There is no indication when paying on the machine what the rate will actually be. Was a not very nice surprise at the end of charging3 of the four stations currently don’t work, and it’s expensive! EVgo is easily the worst charging company, avoid unless it’s an emergency",2.2
accessibility and availability,Negative,Don’t go there],42.5381387,-83.18280899999999,EVgo Charging Station,OPERATIONAL,"5111 Meijer Dr, Royal Oak, MI 48073, USA","point_of_interest, establishment",10,5,"both 350s down as of Aug 2023. both 100kW stations would not recognize any method of payment and needed to call to initiate chargeAbsolutely horrible expensive and never works for Tesla. I’ll stick with it Tesla superchargers in Auburn Hills the best. Don’t go there. You Will  waste your precious time.The 350kw was being serviced when I got there so I used the one of the 100kw. Got me from 30 miles to 130 in about 40 minutes and 15 dollars. Which was all i needed at the time.Website states $0.35/hour, actual rate is $0.86/hour. There is no indication when paying on the machine what the rate will actually be. Was a not very nice surprise at the end of charging3 of the four stations currently don’t work, and it’s expensive! EVgo is easily the worst charging company, avoid unless it’s an emergency",2.2
queue and waiting time,Negative,waste your precious time],42.5381387,-83.18280899999999,EVgo Charging Station,OPERATIONAL,"5111 Meijer Dr, Royal Oak, MI 48073, USA","point_of_interest, establishment",10,5,"both 350s down as of Aug 2023. both 100kW stations would not recognize any method of payment and needed to call to initiate chargeAbsolutely horrible expensive and never works for Tesla. I’ll stick with it Tesla superchargers in Auburn Hills the best. Don’t go there. You Will  waste your precious time.The 350kw was being serviced when I got there so I used the one of the 100kw. Got me from 30 miles to 130 in about 40 minutes and 15 dollars. Which was all i needed at the time.Website states $0.35/hour, actual rate is $0.86/hour. There is no indication when paying on the machine what the rate will actually be. Was a not very nice surprise at the end of charging3 of the four stations currently don’t work, and it’s expensive! EVgo is easily the worst charging company, avoid unless it’s an emergency",2.2
charging speed and efficiency,Positive,Got me from 30 miles to 130 in about 40 minutes],42.5381387,-83.18280899999999,EVgo Charging Station,OPERATIONAL,"5111 Meijer Dr, Royal Oak, MI 48073, USA","point_of_interest, establishment",10,5,"both 350s down as of Aug 2023. both 100kW stations would not recognize any method of payment and needed to call to initiate chargeAbsolutely horrible expensive and never works for Tesla. I’ll stick with it Tesla superchargers in Auburn Hills the best. Don’t go there. You Will  waste your precious time.The 350kw was being serviced when I got there so I used the one of the 100kw. Got me from 30 miles to 130 in about 40 minutes and 15 dollars. Which was all i needed at the time.Website states $0.35/hour, actual rate is $0.86/hour. There is no indication when paying on the machine what the rate will actually be. Was a not very nice surprise at the end of charging3 of the four stations currently don’t work, and it’s expensive! EVgo is easily the worst charging company, avoid unless it’s an emergency",2.2
price and cost,Negative,15 dollars],42.5381387,-83.18280899999999,EVgo Charging Station,OPERATIONAL,"5111 Meijer Dr, Royal Oak, MI 48073, USA","point_of_interest, establishment",10,5,"both 350s down as of Aug 2023. both 100kW stations would not recognize any method of payment and needed to call to initiate chargeAbsolutely horrible expensive and never works for Tesla. I’ll stick with it Tesla superchargers in Auburn Hills the best. Don’t go there. You Will  waste your precious time.The 350kw was being serviced when I got there so I used the one of the 100kw. Got me from 30 miles to 130 in about 40 minutes and 15 dollars. Which was all i needed at the time.Website states $0.35/hour, actual rate is $0.86/hour. There is no indication when paying on the machine what the rate will actually be. Was a not very nice surprise at the end of charging3 of the four stations currently don’t work, and it’s expensive! EVgo is easily the worst charging company, avoid unless it’s an emergency",2.2
price and cost,Negative,actual rate is $0.86,42.5381387,-83.18280899999999,EVgo Charging Station,OPERATIONAL,"5111 Meijer Dr, Royal Oak, MI 48073, USA","point_of_interest, establishment",10,5,"both 350s down as of Aug 2023. both 100kW stations would not recognize any method of payment and needed to call to initiate chargeAbsolutely horrible expensive and never works for Tesla. I’ll stick with it Tesla superchargers in Auburn Hills the best. Don’t go there. You Will  waste your precious time.The 350kw was being serviced when I got there so I used the one of the 100kw. Got me from 30 miles to 130 in about 40 minutes and 15 dollars. Which was all i needed at the time.Website states $0.35/hour, actual rate is $0.86/hour. There is no indication when paying on the machine what the rate will actually be. Was a not very nice surprise at the end of charging3 of the four stations currently don’t work, and it’s expensive! EVgo is easily the worst charging company, avoid unless it’s an emergency",2.2
price and cost,Negative,not very nice surprise at the end of charging],42.5381387,-83.18280899999999,EVgo Charging Station,OPERATIONAL,"5111 Meijer Dr, Royal Oak, MI 48073, USA","point_of_interest, establishment",10,5,"both 350s down as of Aug 2023. both 100kW stations would not recognize any method of payment and needed to call to initiate chargeAbsolutely horrible expensive and never works for Tesla. I’ll stick with it Tesla superchargers in Auburn Hills the best. Don’t go there. You Will  waste your precious time.The 350kw was being serviced when I got there so I used the one of the 100kw. Got me from 30 miles to 130 in about 40 minutes and 15 dollars. Which was all i needed at the time.Website states $0.35/hour, actual rate is $0.86/hour. There is no indication when paying on the machine what the rate will actually be. Was a not very nice surprise at the end of charging3 of the four stations currently don’t work, and it’s expensive! EVgo is easily the worst charging company, avoid unless it’s an emergency",2.2
reliability and maintenance,Negative,3 of the four stations currently don’t work],42.5381387,-83.18280899999999,EVgo Charging Station,OPERATIONAL,"5111 Meijer Dr, Royal Oak, MI 48073, USA","point_of_interest, establishment",10,5,"both 350s down as of Aug 2023. both 100kW stations would not recognize any method of payment and needed to call to initiate chargeAbsolutely horrible expensive and never works for Tesla. I’ll stick with it Tesla superchargers in Auburn Hills the best. Don’t go there. You Will  waste your precious time.The 350kw was being serviced when I got there so I used the one of the 100kw. Got me from 30 miles to 130 in about 40 minutes and 15 dollars. Which was all i needed at the time.Website states $0.35/hour, actual rate is $0.86/hour. There is no indication when paying on the machine what the rate will actually be. Was a not very nice surprise at the end of charging3 of the four stations currently don’t work, and it’s expensive! EVgo is easily the worst charging company, avoid unless it’s an emergency",2.2
customer service,Negative,EVgo is easily the worst charging company],42.5381387,-83.18280899999999,EVgo Charging Station,OPERATIONAL,"5111 Meijer Dr, Royal Oak, MI 48073, USA","point_of_interest, establishment",10,5,"both 350s down as of Aug 2023. both 100kW stations would not recognize any method of payment and needed to call to initiate chargeAbsolutely horrible expensive and never works for Tesla. I’ll stick with it Tesla superchargers in Auburn Hills the best. Don’t go there. You Will  waste your precious time.The 350kw was being serviced when I got there so I used the one of the 100kw. Got me from 30 miles to 130 in about 40 minutes and 15 dollars. Which was all i needed at the time.Website states $0.35/hour, actual rate is $0.86/hour. There is no indication when paying on the machine what the rate will actually be. Was a not very nice surprise at the end of charging3 of the four stations currently don’t work, and it’s expensive! EVgo is easily the worst charging company, avoid unless it’s an emergency",2.2
accessibility and availability,Negative,avoid unless it’s an emergency],42.5381387,-83.18280899999999,EVgo Charging Station,OPERATIONAL,"5111 Meijer Dr, Royal Oak, MI 48073, USA","point_of_interest, establishment",10,5,"both 350s down as of Aug 2023. both 100kW stations would not recognize any method of payment and needed to call to initiate chargeAbsolutely horrible expensive and never works for Tesla. I’ll stick with it Tesla superchargers in Auburn Hills the best. Don’t go there. You Will  waste your precious time.The 350kw was being serviced when I got there so I used the one of the 100kw. Got me from 30 miles to 130 in about 40 minutes and 15 dollars. Which was all i needed at the time.Website states $0.35/hour, actual rate is $0.86/hour. There is no indication when paying on the machine what the rate will actually be. Was a not very nice surprise at the end of charging3 of the four stations currently don’t work, and it’s expensive! EVgo is easily the worst charging company, avoid unless it’s an emergency",2.2
accessibility and availability,Positive,One of just a few chargers in biking distance from Proud Lake Recreation Area],42.546527,-83.54224099999999,ChargePoint Charging Station,OPERATIONAL,"1760 Charms Rd, Wixom, MI 48393, USA","point_of_interest, establishment",2,2,One of just a few chargers in biking distance from Proud Lake Recreation Area.  Reliable ChargePoint network.  L2.has always worked for me so far,5.0
reliability and maintenance,Positive,Reliable ChargePoint network],42.546527,-83.54224099999999,ChargePoint Charging Station,OPERATIONAL,"1760 Charms Rd, Wixom, MI 48393, USA","point_of_interest, establishment",2,2,One of just a few chargers in biking distance from Proud Lake Recreation Area.  Reliable ChargePoint network.  L2.has always worked for me so far,5.0
charging speed and efficiency,Positive,L2.has always worked for me so far],42.546527,-83.54224099999999,ChargePoint Charging Station,OPERATIONAL,"1760 Charms Rd, Wixom, MI 48393, USA","point_of_interest, establishment",2,2,One of just a few chargers in biking distance from Proud Lake Recreation Area.  Reliable ChargePoint network.  L2.has always worked for me so far,5.0
charging speed and efficiency,Negative,slowest level 3],42.549968,-83.788865,ChargePoint Charging Station,OPERATIONAL,"8281 Grand River Ave, Brighton, MI 48114, USA","point_of_interest, establishment",5,5,"This has said before and it doesn't appear to be much different today. 27kw with another car connected. When that car left it got to 73kw. Pretty expensive for sick a slow pace.Edit again 8.18.23: I'm being charged insane rates while it's charging at a snails pace. $8 for 25 miles added. Outrageous!!!!!!! Back to one star  Edited 4.12.2023: the machines are now going to 60KW almost immediately. I'm happy they have been corrected. Still stupid expensive.  First review: This is the slowest level 3 I've ever been to and they charge by time. #DTE do better. This seems like a scam and they take advantage of no other nearby charges.Convenient location. However, I was charged $1.00 per kilowatt here, despite everything saying 43cents.Right near a Dunkin’ Donuts and liquor store. The charger itself is quite expensive, though.This charger is not working",1.8
price and cost,Negative,Pretty expensive],42.549968,-83.788865,ChargePoint Charging Station,OPERATIONAL,"8281 Grand River Ave, Brighton, MI 48114, USA","point_of_interest, establishment",5,5,"This has said before and it doesn't appear to be much different today. 27kw with another car connected. When that car left it got to 73kw. Pretty expensive for sick a slow pace.Edit again 8.18.23: I'm being charged insane rates while it's charging at a snails pace. $8 for 25 miles added. Outrageous!!!!!!! Back to one star  Edited 4.12.2023: the machines are now going to 60KW almost immediately. I'm happy they have been corrected. Still stupid expensive.  First review: This is the slowest level 3 I've ever been to and they charge by time. #DTE do better. This seems like a scam and they take advantage of no other nearby charges.Convenient location. However, I was charged $1.00 per kilowatt here, despite everything saying 43cents.Right near a Dunkin’ Donuts and liquor store. The charger itself is quite expensive, though.This charger is not working",1.8
